dataset_index,episode_index,frame_index,target_gripper,predicted_gripper,target_is_close,predicted_is_close,target_delta_x,target_delta_y,target_delta_z,predicted_delta_x,predicted_delta_y,predicted_delta_z
0,0,0,1.0,0.9986533522605896,0,0,0.0,0.0,0.0,-0.0014632848324254155,0.0021220152266323566,-0.048137180507183075
1,0,1,1.0,0.9986944198608398,0,0,0.0,0.0,0.0,-0.0014509129105135798,0.002025510184466839,-0.047245293855667114
2,0,2,1.0,0.9977930784225464,0,0,0.0,0.0,0.0,-0.001513626310043037,0.0020241187885403633,-0.046882372349500656
3,0,3,1.0,0.9977973699569702,0,0,0.0,0.0,0.0,-0.0015063908649608493,0.0020245329942554235,-0.046839065849781036
4,0,4,1.0,0.997999906539917,0,0,0.0,0.0,0.0,-0.0017109260661527514,0.0019029673421755433,-0.0452767089009285
5,0,5,1.0,0.9979983568191528,0,0,0.0,0.0,0.0,-0.0017098538810387254,0.0019028078531846404,-0.04526011645793915
6,0,6,1.0,0.9982689619064331,0,0,0.0,0.0,0.0,-0.0015673103043809533,0.001925584045238793,-0.044237200170755386
7,0,7,1.0,0.9982682466506958,0,0,0.0,0.0,0.0,-0.0015672511653974652,0.0019254861399531364,-0.044232022017240524
8,0,8,1.0,0.998473048210144,0,0,0.0,0.0,0.0,-0.001734827528707683,0.0019043587381020188,-0.044294826686382294
9,0,9,1.0,0.9984728097915649,0,0,0.0,0.0,0.0,-0.0017348163528367877,0.0019043139182031155,-0.044293247163295746
10,0,10,1.0,0.9983159303665161,0,0,0.0,0.0,0.0,-0.0017027779249474406,0.0017969413893297315,-0.04417097195982933
11,0,11,1.0,0.9983159303665161,0,0,0.0,0.0,0.0,-0.0017027977155521512,0.0017968937754631042,-0.04417053237557411
12,0,12,1.0,0.9983158111572266,0,0,0.0,0.0,0.0,-0.0017028249567374587,0.001796899363398552,-0.04417039826512337
13,0,13,1.0,0.9983158111572266,0,0,0.0,0.0,0.0,-0.0017028165748342872,0.0017969021573662758,-0.044170282781124115
14,0,14,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.001702814712189138,0.0017968853935599327,-0.04417019337415695
15,0,15,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.001702801906503737,0.001796896569430828,-0.044170133769512177
16,0,16,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028198344632983,0.0017968881875276566,-0.04417010396718979
17,0,17,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028182046487927,0.001796896569430828,-0.0441700704395771
18,0,18,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028242582455277,0.0017968770116567612,-0.04417015612125397
19,0,19,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.001702839625068009,0.001796879805624485,-0.04417014867067337
20,0,20,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028319416567683,0.0017968825995922089,-0.04417014122009277
21,0,21,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028121510520577,0.0017968714237213135,-0.044170085340738297
22,0,22,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028198344632983,0.0017969105392694473,-0.0441700778901577
23,0,23,1.0,0.9983158111572266,0,0,0.0,0.0,0.0,-0.0017028002766892314,0.0017968770116567612,-0.04417009651660919
24,0,24,1.0,0.9986863732337952,0,0,0.0,0.0,0.0,-0.001734336488880217,0.0018447614274919033,-0.04321620613336563
25,0,25,1.0,0.9986863732337952,0,0,0.0,0.0,0.0,-0.0017343390500172973,0.0018447530455887318,-0.04321617633104324
26,0,26,1.0,0.9997946619987488,0,0,0.0,0.0,-1.0,-0.0015322359977290034,0.001986054703593254,-0.0464506521821022
