dataset_index,episode_index,frame_index,target_gripper,predicted_gripper,target_is_close,predicted_is_close,target_delta_x,target_delta_y,target_delta_z,predicted_delta_x,predicted_delta_y,predicted_delta_z
0,0,0,1.0,0.9951313734054565,0,0,0.0,0.0,0.0,-0.003291027620434761,0.004746229387819767,-0.04669896513223648
1,0,1,1.0,0.9951441884040833,0,0,0.0,0.0,0.0,-0.0032231402583420277,0.0047088987194001675,-0.04691055044531822
2,0,2,1.0,0.9954971671104431,0,0,0.0,0.0,0.0,-0.003225194290280342,0.004652842879295349,-0.044557806104421616
3,0,3,1.0,0.9955037236213684,0,0,0.0,0.0,0.0,-0.0032202317379415035,0.004650533199310303,-0.04453008994460106
4,0,4,1.0,0.9947049617767334,0,0,0.0,0.0,0.0,-0.003320899326354265,0.004583271220326424,-0.046174559742212296
5,0,5,1.0,0.9947047233581543,0,0,0.0,0.0,0.0,-0.0033195125870406628,0.004582700319588184,-0.046159740537405014
6,0,6,1.0,0.9952432513237,0,0,0.0,0.0,0.0,-0.0032686679624021053,0.0046211895532906055,-0.045329224318265915
7,0,7,1.0,0.9952429533004761,0,0,0.0,0.0,0.0,-0.0032683955505490303,0.004620973952114582,-0.04532448574900627
8,0,8,1.0,0.9951816201210022,0,0,0.0,0.0,0.0,-0.0033784988336265087,0.004436499439179897,-0.04572626203298569
9,0,9,1.0,0.9951813817024231,0,0,0.0,0.0,0.0,-0.003378440160304308,0.004436468705534935,-0.04572472721338272
10,0,10,1.0,0.9951151013374329,0,0,0.0,0.0,0.0,-0.0033654477447271347,0.004514186643064022,-0.045699622482061386
11,0,11,1.0,0.9951150417327881,0,0,0.0,0.0,0.0,-0.0033654221333563328,0.004514175467193127,-0.045699216425418854
12,0,12,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.003365437500178814,0.004514147527515888,-0.045699018985033035
13,0,13,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.003365408629179001,0.004514150321483612,-0.04569888859987259
14,0,14,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.003365396521985531,0.004514150321483612,-0.04569876566529274
15,0,15,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033653774298727512,0.0045141419395804405,-0.045698679983615875
16,0,16,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033653955906629562,0.004514130763709545,-0.04569873958826065
